Identificatore, Italiano, Inglese,spagnolo,francese,tedesco
AVANTI_E_INDIETRO, Avanti e indietro, Forward and backwards, Forward and backwards, Forward and backwards, Forward and backwards
SOLO_AVANTI, Solo avanti, Forward only, Forward only, Forward only, Forward only
DISABILITATO, Disabilitato, Deactivated, Desactivado, Desactive, Deaktiviert
